__main__ train:106                                :2087.1 Mb     if args.distributed:
importlib._bootstrap _handle_fromlist:1019        :4353.1 Mb     if hasattr(module, '__path__'):
threading daemon:1133                             :4353.1 Mb         if not self._initialized:
torchvision.transforms.functional normalize:275   :4353.1 Mb     dtype = tensor.dtype
importlib._bootstrap _handle_fromlist:1019        :4353.1 Mb     if hasattr(module, '__path__'):
importlib._bootstrap _handle_fromlist:1021        :4353.1 Mb             if not isinstance(x, str):
multiprocessing.connection wait:913               :4353.1 Mb         with _WaitSelector() as selector:
sre_compile compile:781                           :4335.1 Mb         pattern, flags | p.pattern.flags, code,
torch.tensor wrapped:27                           :4333.1 Mb             return f(*args, **kwargs)
models.stylegan2 forward:250                      :4333.1 Mb             out = F.conv2d(inputs, weight, padding=self.padding, groups=batch)
torch.tensor <genexpr>:24                         :2131.1 Mb         if not all(type(t) is Tensor for t in args) and has_torch_function(args):
torch.overrides <genexpr>:1084                    :2131.1 Mb         type(a) is not torch.Tensor and
torch.overrides <genexpr>:1084                    :2129.1 Mb         type(a) is not torch.Tensor and
multiprocessing.connection wait:915               :2129.1 Mb                 selector.register(obj, selectors.EVENT_READ)
models.stylegan2 forward:250                      :2129.1 Mb             out = F.conv2d(inputs, weight, padding=self.padding, groups=batch)
torchvision.transforms.transforms __call__:66     :2129.1 Mb         for t in self.transforms:
threading start:847                               :2129.1 Mb         if self._started.is_set():
torch.storage _new_shared:137                     :2129.1 Mb             return cls._new_using_fd(size)
enum __call__:315                                 :2129.1 Mb             return cls.__new__(cls, value)
multiprocessing.util __init__:187                 :4353.1 Mb         if (exitpriority is not None) and not isinstance(exitpriority,int):
threading __init__:787                            :4353.1 Mb         if kwargs is None:
importlib._bootstrap _verbose_message:224         :4353.1 Mb     if sys.flags.verbose >= verbosity:
torch.nn.modules.module _call_impl:734            :4353.1 Mb         if (len(self._backward_hooks) > 0) or (len(_global_backward_hooks) > 0):
torch.utils.data._utils.fetch <listcomp>:44       :4353.1 Mb             data = [self.dataset[idx] for idx in possibly_batched_index]
torch.overrides <genexpr>:1084                    :4353.1 Mb         type(a) is not torch.Tensor and
selectors register:358                            :4353.1 Mb         try:
