__main__ train:106                                :2187.1 Mb     if args.distributed:
torchvision.transforms.functional to_tensor:89    :4469.1 Mb     elif pic.mode == 'I;16':
selectors __init__:348                            :4469.1 Mb         super().__init__()
torch.utils.data._utils.fetch <listcomp>:44       :4469.1 Mb             data = [self.dataset[idx] for idx in possibly_batched_index]
sre_compile compile:775                           :4469.1 Mb     groupindex = p.pattern.groupdict
importlib._bootstrap _handle_fromlist:1032        :4469.1 Mb             elif not hasattr(module, x):
torchvision.transforms.transforms __call__:67     :4469.1 Mb             img = t(img)
torch.utils.data._utils.collate default_collate:48:4469.1 Mb         out = None
threading __init__:806                            :4469.1 Mb         _dangling.add(self)
models.stylegan2 forward:250                      :4433.1 Mb             out = F.conv2d(inputs, weight, padding=self.padding, groups=batch)
torch.utils.data._utils.collate default_collate:53:2231.1 Mb             storage = elem.storage()._new_shared(numel)
threading daemon:1137                             :2231.1 Mb         self._daemonic = daemonic
sre_compile compile:783                           :2231.1 Mb         groupindex, tuple(indexgroup)
models.stylegan2 forward:250                      :2229.1 Mb             out = F.conv2d(inputs, weight, padding=self.padding, groups=batch)
selectors register:352                            :2229.1 Mb         key = super().register(fileobj, events, data)
importlib._bootstrap _handle_fromlist:1019        :2229.1 Mb     if hasattr(module, '__path__'):
torchvision.transforms.transforms __call__:67     :2229.1 Mb             img = t(img)
torchvision.transforms.transforms __call__:66     :2229.1 Mb         for t in self.transforms:
dataset __getitem__:36                            :2229.1 Mb                 break
importlib._bootstrap __exit__:320                 :4453.1 Mb             spec = self._spec
selectors register:355                            :4453.1 Mb             poller_events |= self._EVENT_READ
torch.overrides has_torch_function:1087           :4453.1 Mb         for a in relevant_args
importlib._bootstrap _handle_fromlist:1044        :4453.1 Mb     return module
multiprocessing.util debug:49                     :4453.1 Mb     if _logger:
torch.nn.modules.module _call_impl:730            :4453.1 Mb                 self._forward_hooks.values()):
torch.tensor wrapped:24                           :4453.1 Mb         if not all(type(t) is Tensor for t in args) and has_torch_function(args):
multiprocessing.queues put:85                     :4453.1 Mb         with self._notempty:
models.stylegan2 forward:235                      :4433.1 Mb             out = F.conv_transpose2d(inputs, weight, padding=0, stride=2, groups=batch)
importlib._bootstrap __exit__:329                 :6621.1 Mb             self._spec._initializing = False
multiprocessing.util __init__:193                 :6621.1 Mb             self._weakref = weakref.ref(obj, self)
torchvision.transforms.transforms forward:647     :6621.1 Mb         return img
multiprocessing.connection wait:920               :6621.1 Mb             while True:
torch.nn.modules.module _call_impl:724            :6621.1 Mb         if torch._C._get_tracing_state():
torch.overrides <genexpr>:1087                    :6621.1 Mb         for a in relevant_args
torch.overrides <genexpr>:1084                    :6621.1 Mb         type(a) is not torch.Tensor and
multiprocessing.queues _start_thread:161          :6621.1 Mb             target=Queue._feed,
models.stylegan2 forward:250                      :6601.1 Mb             out = F.conv2d(inputs, weight, padding=self.padding, groups=batch)
multiprocessing.queues _start_thread:181          :4417.1 Mb         self._close = Finalize(
torchvision.transforms.transforms __call__:67     :4417.1 Mb             img = t(img)
torch.tensor <genexpr>:24                         :4417.1 Mb         if not all(type(t) is Tensor for t in args) and has_torch_function(args):
selectors select:415                              :4417.1 Mb             fd_event_list = self._selector.poll(timeout)
torchvision.transforms.functional normalize:281   :4417.1 Mb         mean = mean.view(-1, 1, 1)
torchvision.transforms.functional normalize:282   :4417.1 Mb     if std.ndim == 1:
threading __init__:788                            :4417.1 Mb             kwargs = {}
importlib._bootstrap release:105                  :2231.1 Mb         with self.lock:
models.stylegan2 forward:250                      :2229.1 Mb             out = F.conv2d(inputs, weight, padding=self.padding, groups=batch)
multiprocessing.queues _start_thread:182          :2229.1 Mb             self, Queue._finalize_close,
torch.nn.modules.module _call_impl:716            :2229.1 Mb         for hook in itertools.chain(
torch.tensor <genexpr>:24                         :2229.1 Mb         if not all(type(t) is Tensor for t in args) and has_torch_function(args):
selectors select:418                              :2229.1 Mb         for fd, event in fd_event_list:
torchvision.transforms.functional normalize:282   :2229.1 Mb     if std.ndim == 1:
torchvision.transforms.functional normalize:283   :2229.1 Mb         std = std.view(-1, 1, 1)
threading __init__:789                            :2229.1 Mb         self._target = target
threading __init__:793                            :4453.1 Mb         if daemon is not None:
torch.nn.modules.module _call_impl:729            :4453.1 Mb                 _global_forward_hooks.values(),
torch.nn.modules.module _call_impl:728            :4453.1 Mb         for hook in itertools.chain(
multiprocessing.util __init__:193                 :4453.1 Mb             self._weakref = weakref.ref(obj, self)
torchvision.transforms.transforms forward:615     :4453.1 Mb         if torch.rand(1) < self.p:
torch.overrides <genexpr>:1087                    :4453.1 Mb         for a in relevant_args
selectors select:425                              :4453.1 Mb             key = self._key_from_fd(fd)
importlib._bootstrap release:112                  :4453.1 Mb                 if self.waiters:
models.stylegan2 forward:235                      :4433.1 Mb             out = F.conv_transpose2d(inputs, weight, padding=0, stride=2, groups=batch)
dataset __getitem__:27                            :8815.1 Mb         while True:
threading __init__:799                            :8815.1 Mb         self._started = Event()
torch.utils.data._utils.fetch <listcomp>:44       :8815.1 Mb             data = [self.dataset[idx] for idx in possibly_batched_index]
multiprocessing.queues put:89                     :8815.1 Mb             self._notempty.notify()
torch.overrides has_torch_function:1084           :8815.1 Mb         type(a) is not torch.Tensor and
torch.nn.modules.module _call_impl:729            :8815.1 Mb                 _global_forward_hooks.values(),
multiprocessing.connection wait:923               :8815.1 Mb                     return [key.fileobj for (key, events) in ready]
dataset __getitem__:36                            :8815.1 Mb                 break
models.stylegan2 forward:250                      :8797.1 Mb             out = F.conv2d(inputs, weight, padding=self.padding, groups=batch)
dataset __getitem__:36                            :6613.1 Mb                 break
models.stylegan2 forward:250                      :2233.1 Mb             out = F.conv2d(inputs, weight, padding=self.padding, groups=batch)
torch.utils.data._utils.worker get_worker_info:109:2233.1 Mb     return _worker_info
threading notify:350                              :2233.1 Mb             return
torchvision.transforms.functional to_tensor:63    :2233.1 Mb     if not(F_pil._is_pil_image(pic) or _is_numpy(pic)):
multiprocessing.queues get:108                    :2233.1 Mb                 res = self._recv_bytes()
torch.tensor wrapped:26                           :2233.1 Mb         try:
threading __init__:228                            :2233.1 Mb         except AttributeError:
torch.nn.modules.module _call_impl:724            :2233.1 Mb         if torch._C._get_tracing_state():
dataset __getitem__:41                            :2233.1 Mb         img = self.transform(img)
